代码,名称,market,最新价,涨跌幅,涨跌额,总手,现手,买入价,卖出价,昨收,换手率,成交额,市盈率,上移
XPEVUS,小鹏汽车,USA,19.6,2.19%,0.42,493.4万,820,—,—,19.18,0.52%,9641万,-23.16,
NIOUS,蔚来,USA,3.96,3.13%,0.12,2795万,9324,—,—,3.84,1.23%,1.103亿,-2.85,
300750,宁德时代,SH,246.1,0.63%,1.53,12.04万,30,246.09,246.1,244.57,0.31%,29.67亿,19.4,
2007,华兰生物,SH,16.38,-0.43%,-0.07,4.115万,5,16.38,16.39,16.45,0.26%,6761万,23.92,
300003,乐普医疗,SH,11.37,-0.87%,-0.1,5.279万,19,11.37,11.38,11.47,0.33%,6022万,14.12,
OXYUS,西方石油,USA,41.44,6.23%,2.43,2252万,1987,—,—,39.01,2.29%,9.279亿,13.14,
51,华夏沪深300ET...,SH,1.4282,0.53%,0.0075,0,0,—,—,1.4207,—,—,—,
300,沪深300,SH,3845.15,-0.20%,-7.75,7290万,1.208万,—,—,3852.9,0.22%,1329亿,—,
16,上证50,SH,2685.87,0.24%,6.36,2064万,4812,—,—,2679.51,0.12%,370.0亿,—,
895,双汇发展,SH,24.81,0.36%,0.09,9.752万,31,24.8,24.81,24.72,0.28%,2.416亿,18.9,
601318,中国平安,SH,51.95,-0.02%,-0.01,16.52万,308,51.94,51.95,51.96,0.15%,8.573亿,8.75,
09988HK,阿里巴巴-W,HK,122.6,0.91%,1.1,3454万,100,122.6,122.7,121.5,0.18%,42.55亿,17.91,
600276,恒瑞医药,SH,52.44,1.71%,0.88,33.02万,177,52.44,52.45,51.56,0.52%,17.30亿,44.62,
BIDUUS,百度,USA,87.65,1.10%,0.95,258.9万,431,—,—,86.7,0.75%,2.264亿,9.12,
PDDUS,拼多多,USA,109.9,0.47%,0.51,461.2万,166,—,—,109.39,0.32%,5.088亿,9.97,
600588,用友网络,SH,14.04,-3.17%,-0.46,22.83万,16,14.03,14.04,14.5,0.67%,3.239亿,-16.3,
157,中联重科,SH,7.6,0.00%,0,21.38万,23,7.59,7.6,7.6,0.30%,1.618亿,11.69,
600196,复星医药,SH,23.6,-0.97%,-0.23,5.302万,6,23.6,23.61,23.83,0.25%,1.256亿,20.61,
600848,上海临港,SH,9.07,-0.77%,-0.07,3.753万,1,9.07,9.08,9.14,0.16%,3415万,33.25,
725,京东方Ａ,SH,3.86,-0.52%,-0.02,175.5万,18,3.86,3.87,3.88,0.47%,6.778亿,22.51,
300090,盛运退,SH,—,—,—,—,—,—,—,0.12,0.00%,—,—,
600030,中信证券,SH,25.63,-0.89%,-0.23,29.45万,10,25.63,25.64,25.86,0.24%,7.562亿,14.51,
600887,伊利股份,SH,29.58,0.14%,0.04,11.16万,14,29.58,29.59,29.54,0.18%,3.308亿,9.66,
TSLAUS,特斯拉,USA,284.82,3.11%,8.6,9754万,4.809万,—,—,276.22,3.03%,278.6亿,150.15,
2701,奥瑞金,SH,5.46,2.63%,0.14,48.21万,195,5.46,5.47,5.32,1.89%,2.629亿,5.26,
NTESUS,网易,USA,106.49,0.01%,0.01,66.00万,2,—,—,106.48,0.10%,7036万,16.32,
JDUS,京东,USA,34.12,0.89%,0.3,683.1万,463,—,—,33.82,0.47%,2.327亿,8.62,
ORCLUS,甲骨文,USA,150.3,0.62%,0.93,611.4万,420,—,—,149.37,0.22%,9.198亿,34.66,
600031,三一重工,SH,19.62,1.08%,0.21,25.71万,10,19.62,19.63,19.41,0.30%,5.038亿,16.82,
01810HK,小米集团-W,HK,50.7,-0.20%,-0.1,4913万,200,50.7,50.75,50.8,0.23%,25.01亿,51.49,
600104,上汽集团,SH,16.36,-1.09%,-0.18,16.88万,9,16.35,16.36,16.54,0.15%,2.774亿,15.66,
399006,创业板指,SH,2009.6,-0.98%,-19.85,1.267亿,1.377万,—,—,2029.45,2.45%,2226亿,—,
ADBEUS,奥多比,USA,383.99,-0.25%,-0.98,338.4万,380,—,—,384.97,0.79%,13.05亿,24.24,
601818,光大银行,SH,3.92,1.29%,0.05,72.11万,79,3.91,3.92,3.87,0.16%,2.814亿,4.65,
600036,招商银行,SH,43.55,1.75%,0.75,41.60万,67,43.55,43.56,42.8,0.20%,18.01亿,7.36,
881,中广核技,SH,7.29,0.00%,0,11.73万,1,7.29,7.3,7.29,1.48%,8587万,-26.49,
2594,比亚迪,SH,362,0.76%,2.72,9.143万,9,361.99,362,359.28,0.79%,33.21亿,30.04,
METAUS,Meta Platform...,USA,598.01,0.20%,1.2,1462万,2224,—,—,596.81,0.58%,88.26亿,22.56,
GOOGUS,谷歌-C,USA,155.75,1.93%,2.95,3839万,4890,—,—,152.8,0.61%,59.81亿,17.03,
MSFTUS,微软,USA,438.17,1.11%,4.82,2349万,369,—,—,433.35,0.32%,103.3亿,33.7,
AAPLUS,苹果,USA,197.49,0.63%,1.24,5048万,1.012万,—,—,196.25,0.34%,99.83亿,30.32,
AMZNUS,亚马逊,USA,192.08,1.79%,3.37,4104万,1.022万,—,—,188.71,0.39%,78.85亿,30.92,
GOOGLUS,谷歌-A,USA,154.28,1.92%,2.9,5750万,6018,—,—,151.38,0.99%,88.76亿,16.87,
681,视觉中国,SH,21.65,-3.82%,-0.86,50.68万,37,21.65,21.66,22.51,7.50%,10.97亿,212.82,
601360,三六零,SH,10.48,-3.68%,-0.4,71.16万,192,10.47,10.48,10.88,1.02%,7.540亿,-67.13,
2415,海康威视,SH,28.6,-1.11%,-0.32,13.19万,28,28.59,28.6,28.92,0.14%,3.785亿,32.38,
651,格力电器,SH,47.06,1.16%,0.54,18.29万,11,47.05,47.06,46.52,0.33%,8.596亿,11.16,
00700HK,腾讯控股,HK,495,-0.60%,-3,680.4万,100,494.8,495,498,0.07%,33.87亿,21.7,
BABAUS,阿里巴巴,USA,125.79,2.08%,2.56,1085万,2366,—,—,123.23,0.45%,13.63亿,17.87,
300059,东方财富,SH,20.84,-1.79%,-0.38,151.7万,466,20.84,20.85,21.22,1.14%,31.75亿,30.29,
63,中兴通讯,SH,32.41,-1.97%,-0.65,37.83万,12,32.4,32.41,33.06,0.94%,12.32亿,15.8,
SQQQUS,三倍做空纳斯...,USA,28.72,-2.97%,-0.88,1.129亿,15.95万,—,—,29.6,—,32.20亿,—,
QQQUS,纳斯达克100ET...,USA,488.29,1.03%,4.99,3958万,5.079万,—,—,483.3,—,193.8亿,—,
333,美的集团,SH,75.89,1.19%,0.89,12.32万,3,75.88,75.89,75,0.18%,9.321亿,11.71,
TSLZUS,二倍做空特斯...,USA,2.445,-6.14%,-0.16,7734万,1.172万,—,—,2.605,—,1.883亿,—,
SVIXUS,做空短期期货...,USA,13.17,3.70%,0.47,488.6万,4,—,—,12.7,—,6417万,—,
VIXYUS,恐慌指数期货...,USA,59.15,-3.90%,-2.4,101.5万,450,—,—,61.55,—,6037万,—,
